Name,Filename,Artwork,HD,M4V,Backup,Artist,Main Genre,Genres,Release Date,Description,Rating,Studio,Director,Producers,Screenwriters,Media Kind,Path
"!De Panzazo!","!De Panzazo!.m4v","artwork/00001/!De%20Panzazo!.art[0].png",0,1,0,"Carlos Loret de Mola, Denise Dresser, Elba Esther Gordillo","Documentary","Documentary","2012-02-24","¡De Panzazo! refleja la realidad de la educación en México y pone en evidencia que la sociedad mexicana pasa de panzazo en un sistema excluyente en el que no se logran aprendizajes para la vida. Vemos en esta película a mamás, papás, directores, maestros, funcionarios, representantes sindicales y líderes de opinión que trazan un cuadro global que no permite la indiferencia. Los datos, las entrevistas y lo que los propios alumnos filmaron con cámaras de mano dan pie a una indignación inteligente y también a darse cuenta de la parte que a cada uno le toca aportar. El proyecto se desarrolló por tres años entrando en la realidad de los alumnos y sus familias, captando la dinámica cotidiana de escuelas en lugares tan diversos del territorio nacional como Ciudad Juárez, el interior de Yucatán, Morelia, las sierras de Chiapas y Guerrero, así como Naucalpan e Iztapalapa en la zona metropolitana de la Ciudad de México.","","","Juan Carlos Rulfo, Carlos Loret de Mola","","Carlos Loret de Mola, Mario Gutiérrez Vega","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/!De Panzazo!/!De Panzazo!.m4v"
"007: A View to a Kill","007_ A View to a Kill.m4v","artwork/00002/007_%20A%20View%20to%20a%20Kill.art[0].png",0,1,0,"Christopher Walken, David Yip, Desmond Llewelyn, Fiona Fullerton, Geoffrey Keen, Grace Jones, Lois Maxwell, Patrick Bauchau, Patrick Macnee, Robert Brown, Roger Moore, Tanya Roberts, Walter Gotell, Willoughby Gray","Action & Adventure","Adventure, Action, Thriller, Foreign","1985-05-24","A newly developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin. The 14th film from the Legendary James Bond series starring Roger Moore as a British super agent.","0","MGM, United Artists","John Glen","Albert R. Broccoli, Tom Pevsner, Michael J. Wilson, Debbie McWilliams","Richard Maibaum, Michael J. Wilson","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ A View to a Kill/007_ A View to a Kill.m4v"
"007: Casino Royale","007_ Casino Royale.m4v","artwork/00003/007_%20Casino%20Royale.art[0].png",0,1,0,"Caterina Murino, Claudio Santamaria, Daniel Craig, Eva Green, Giancarlo Giannini, Isaach De Bankole, Ivana Milicevic, Jeffrey Wright, Jesper Christensen, Judi Dench, Mads Mikkelsen, Malcolm Sinclair, Sebastien Foucan, Simon Abkarian, Tobias Menzies","Action & Adventure","Adventure, Action, Thriller, Foreign","2006-11-17","This is the 21st movie of 007 films serie. In his first mission, James Bond must stop Le Chiffre, a banker to the world's terrorist organizations, from winning a high-stakes poker tournament at Casino Royale in Montenegro.","0","MGM","Martin Campbell","","Neal Purvis, Robert Wade","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Casino Royale/007_ Casino Royale.m4v"
"007: Diamonds Are Forever","007_ Diamonds Are Forever.m4v","artwork/00004/007_%20Diamonds%20Are%20Forever.art[0].png",0,1,0,"Bernard Lee, Bruce Cabot, Bruce Glover, Charles Gray, Desmond Llewelyn, Jill St. John, Jimmy Dean, Joseph Fürst, Lana Wood, Laurence Naismith, Lois Maxwell, Marc Lawrence, Norman Burton, Putter Smith, Sean Connery","Action & Adventure","Adventure, Action, Thriller, Science Fiction, Foreign","1971-12-17","Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld. The seventh film from the Legendary James Bond series starring Sean Connery as a British super agent.","0","MGM, Eon Productions","Guy Hamilton","Albert R. Broccoli, Harry Saltzman, Stanley Sopel","Ian Fleming, Richard Maibaum, Tom Mankiewicz","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Diamonds Are Forever/007_ Diamonds Are Forever.m4v"
"007: Die Another Day","007_ Die Another Day.m4v","artwork/00005/007_%20Die%20Another%20Day.art[0].png",0,1,0,"Colin Salmon, Emilio Echevarría, Halle Berry, John Cleese, Judi Dench, Kenneth Tsang Kong, Lawrence Makoare, Madonna, Michael Madsen, Mikhail Gorevoy, Pierce Brosnan, Rick Yune, Rosamund Pike, Samantha Bond, Toby Stephens, Will Yun Lee","Action & Adventure","Adventure, Action, Thriller, Foreign","2002-11-22","This is the 20th movie of 007 films serie. The ever-daring James Bond taking on a North Korean leader who undergoes DNA replacement procedures that allow him to assume different identities. American agent Jinx Johnson assists Bond in thwarting the villain's plans to exploit a satellite that is powered by solar energy.","0","MGM, Eon Productions, United Artists","Lee Tamahori","","Ian Fleming, Neal Purvis, Ian Fleming","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Die Another Day/007_ Die Another Day.m4v"
"007: Dr. No","007_ Dr. No.m4v","artwork/00006/007_%20Dr.%20No.art[0].png",0,1,0,"Anthony Dawson, Bernard Lee, Eunice Gayson, Jack Lord, John Kitzmiller, Joseph Wiseman, Lois Maxwell, Louis Blaazer, Peter Burton, Sean Connery, Ursula Andress, Zena Marshall","Action & Adventure","Adventure, Action, Thriller, Foreign","1963-05-08","This is the 1st movie of 007 films serie. When Strangways, the British SIS Station Chief in Jamaica goes missing, MI6 send James Bond - Agent 007 to investigate. His investigation leads him to the mysterious Crab Key; the secret base of Dr No who he suspects is trying to sabotage the American space program using a radio beam. With the assistance of local fisherman Quarrel, who had been helping Strangways, Bond sneaks onto Crab Key where he meets the beautiful Honey Ryder. Can the three of them defeat an army of henchmen and a 'fire breathing dragon' in order to stop Dr No, save the space program and get revenge for Strangways? Dr. No is the first film of legendary James Bond series starring Sean Connery in the role of Fleming's British super agent.","0","United Artists, Eon Productions","Terence Young","Albert R. Broccoli, Harry Saltzman","Ian Fleming, Richard Maibaum, Johanna Harwood, Berkely Mather","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Dr. No/007_ Dr. No.m4v"
"007: For Your Eyes Only","007_ For Your Eyes Only.m4v","artwork/00007/007_%20For%20Your%20Eyes%20Only.art[0].png",0,1,0,"Carole Bouquet, Cassandra Harris, Desmond Llewelyn, Geoffrey Keen, Jack Hedley, Jill Bennett, John Wyman, Julian Glover, Lois Maxwell, Lynn-Holly Johnson, Michael Gothard, Roger Moore, Topol, Walter Gotell","Action & Adventure","Adventure, Action, Thriller, Foreign","1981-06-24","This is the 12th movie of 007 films serie. A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first. The twelfth film from the Legendary James Bond series starring Roger Moore as a British super agent.","0","United Artists","John Glen","Albert R. Broccoli, Tom Pevsner, Michael J. Wilson, Debbie McWilliams, Maude Spector","Richard Maibaum, Michael J. Wilson","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ For Your Eyes Only/007_ For Your Eyes Only.m4v"
"007: From Russia With Love","007_ From Russia With Love.m4v","artwork/00008/007_%20From%20Russia%20With%20Love.art[0].png",0,1,0,"Aliza Gur, Bernard Lee, Daniela Bianchi, Desmond Llewelyn, Eunice Gayson, Francis De Wolff, George Pastell, Lois Maxwell, Lotte Lenya, Nadja Regin, Pedro Armendáriz, Robert Shaw, Sean Connery, Vladek Sheybal, Walter Gotell","Action & Adventure","Action, Thriller, Foreign","1964-04-08","This is the 2nd movie of 007 films serie. Bond is back and on the loose in exotic Istanbul looking for a super-secret coding machine. He's involved with a beautiful Russian spy and has the SPECTRE organization after him, including villainess Rosa Klebb (she of the killer shoe). Lots of exciting escapes but not an overreliance on the gadgetry of the later films. The second Bond feature, thought by many to be the best.","0","United Artists, Eon Productions","Terence Young","Albert R. Broccoli, Harry Saltzman, Weston Drury Jr.","Ian Fleming, Richard Maibaum, Johanna Harwood","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ From Russia With Love/007_ From Russia With Love.m4v"
"007: GoldenEye","007_ GoldenEye.m4v","artwork/00009/007_%20GoldenEye.art[0].png",0,1,0,"Alan Cumming, Desmond Llewelyn, Famke Janssen, Gottfried John, Izabella Scorupco, Joe Don Baker, Judi Dench, Michael Kitchen, Pierce Brosnan, Robbie Coltrane, Samantha Bond, Sean Bean, Serena Gordon, Simon Kunz, Tchéky Karyo","Action & Adventure","Adventure, Action, Thriller, Foreign","1995-11-17","This is the 17th movie of 007 films serie. James Bond must unmask the mysterious head of the Janus Syndicate and prevent his one time ally - Alec Trevelyan Agent 006 - from utilising the GoldenEye weapons system to inflict devastating revenge on Britain. --- The 17th film from the legendary James Bond series and the first starring Pierce Brosnan.","0","United Artists, Eon Productions","Martin Campbell","Barbara Broccoli, Anthony Waye, Tom Pevsner, Michael J. Wilson, Debbie McWilliams","Ian Fleming, Jeffrey Caine, Bruce Feirstein","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ GoldenEye/007_ GoldenEye.m4v"
"007: Goldfinger","007_ Goldfinger.m4v","artwork/00010/007_%20Goldfinger.art[0].png",0,1,0,"Austin Willis, Bernard Lee, Burt Kwouk, Cec Linder, Desmond Llewelyn, Gert Fröbe, Harold Sakata, Honor Blackman, Lois Maxwell, Martin Benson, Sean Connery, Shirley Eaton, Tania Mallet","Action & Adventure","Adventure, Action, Thriller, Foreign","1964-12-25","Bond is in Miami on holiday when M tells him to observe Auric Goldfinger. Bond steals Goldfinger's girlfriend Jill Masterson, but after being knocked out, he awakes to find her dead and covered in gold paint. Upon returning to London, Bond is told to further investigate Goldfinger who is believed to be smuggling gold out of Britain, but warned he will be replaced if he turns the mission into a personal vendetta. After failing to befriend Goldfinger, Bond is caught spying and taken to America as a captive. Bond learns of Goldfinger's plan, codenamed Operation Grand Slam, which involves attacking Fort Know to increase his gold riches. Can 007 find a way to stop Goldfinger despite being held prisoner? This is the third film from the legendary James Bond series starring Sean Connery as the British super agent.","0","United Artists, Eon Productions","Guy Hamilton","Albert R. Broccoli, Harry Saltzman","Ian Fleming, Richard Maibaum, Paul Dehn","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Goldfinger/007_ Goldfinger.m4v"
